team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Chennai Super Kings,Kartik Sharma,False,wicketkeeper,7,4,9,0,0,3,1,0,3,0,0,0,0,0,90,128,7,24,0,1,0,0,2,2,0,0,0,1,0,0,0
Chennai Super Kings,Prashant Veer,False,all_rounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chennai Super Kings,Rahul Chahar,False,bowler,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Chennai Super Kings,Akeal Hosein,True,all_rounder,74,317,237,16,21,35,16,4,21,2,1,0,0,0,1490,1911,70,594,3,27,6,21,17,6,0,0,0,8,0,4,0
Chennai Super Kings,Matt Henry,True,bowler,41,88,85,7,2,17,11,2,7,0,0,0,0,0,795,1026,58,375,4,24,3,8,18,7,2,1,0,13,0,3,1
Chennai Super Kings,Matthew Short,True,all_rounder,56,1787,1279,170,76,56,53,2,10,30,18,11,4,1,536,755,23,153,0,24,1,6,5,4,1,0,0,33,0,4,7
Chennai Super Kings,Aman Khan,False,all_rounder,102,1102,845,83,64,78,63,8,29,13,6,3,0,0,957,1366,53,338,0,76,4,16,12,5,1,1,1,30,3,5,4
Chennai Super Kings,Sarfaraz Khan,False,batter,61,805,572,66,41,52,42,3,16,15,6,0,0,0,969,1363,53,298,0,38,4,14,15,6,2,0,0,19,0,3,1
Chennai Super Kings,Zakary Foulkes,False,bowler,35,146,114,13,6,21,12,0,13,0,0,0,0,0,699,984,35,277,2,63,5,14,9,2,0,0,0,8,0,0,1
Chennai Super Kings,Sanju Samson,False,wicketkeeper,30,874,573,76,51,30,29,1,5,12,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,2,6
Chennai Super Kings,Ruturaj Gaikwad,False,batter,5,122,81,14,4,5,5,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Chennai Super Kings,Ayush Mhatre,False,batter,7,240,127,31,11,7,7,1,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Chennai Super Kings,M.S. Dhoni,False,wicketkeeper,13,196,145,12,12,13,8,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,0
Chennai Super Kings,Dewald Brevis,True,batter,59,1721,1013,94,143,58,49,1,5,28,16,5,2,2,30,39,3,9,0,1,0,0,0,0,0,0,0,38,0,3,7
Chennai Super Kings,Urvil Patel,False,wicketkeeper,11,118,83,10,8,11,11,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,1
Chennai Super Kings,Shivam Dube,False,all_rounder,43,900,581,59,60,38,28,1,5,16,9,2,0,0,263,453,20,78,0,23,6,3,6,1,0,0,0,14,0,0,4
Chennai Super Kings,Jamie Overton,True,all_rounder,72,419,318,33,15,48,31,6,24,4,0,0,0,0,1343,1891,78,546,5,73,1,14,23,7,0,0,0,51,0,3,11
Chennai Super Kings,Ramakrishna Ghosh,False,all_rounder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Chennai Super Kings,Noor Ahmad,True,bowler,92,290,274,20,13,36,30,7,20,3,2,0,0,0,1924,2561,121,745,2,98,16,48,35,17,8,1,0,26,0,2,2
Chennai Super Kings,Khaleel Ahmed,False,bowler,52,406,332,31,18,27,21,5,9,8,2,1,0,0,753,1111,44,302,1,25,8,6,12,5,3,0,0,26,2,11,6
Chennai Super Kings,Anshul Kamboj,False,bowler,8,14,12,2,0,5,2,1,5,0,0,0,0,0,129,172,8,55,0,0,1,4,1,1,0,0,0,1,0,0,0
Chennai Super Kings,Gurjapneet Singh,False,bowler,17,202,230,14,2,12,11,0,6,3,2,1,0,0,336,442,11,152,2,12,1,2,3,1,0,0,0,2,0,2,0
Chennai Super Kings,Shreyas Gopal,False,all_rounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chennai Super Kings,Mukesh Choudhary,False,bowler,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,71,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0
Chennai Super Kings,Nathan Ellis,True,bowler,33,94,82,8,4,13,5,2,9,1,1,0,0,0,701,982,47,235,1,30,5,14,14,7,1,0,0,6,0,4,0
Mumbai Indians,Quinton de Kock,True,wicketkeeper,65,1734,1220,150,93,65,63,6,17,24,18,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,4,9,14
Mumbai Indians,Mohammad Izhar,False,batter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai Indians,Danish Malewar,False,batter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai Indians,Atharva Ankolekar,False,all_rounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai Indians,Mayank Rawat,False,all_rounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai Indians,Sherfane Rutherford,True,batter,79,1791,1175,134,114,79,60,9,17,34,16,3,1,0,102,196,8,23,0,22,2,0,2,1,1,0,0,26,0,4,2
Mumbai Indians,Mayank Markande,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai Indians,Shardul Thakur,False,all_rounder,10,18,12,3,0,5,3,1,4,0,0,0,0,0,204,375,13,60,0,21,1,1,4,1,1,0,0,4,0,0,0
Mumbai Indians,Hardik Pandya,False,all_rounder,44,812,507,57,51,36,29,1,10,15,9,1,0,0,696,1065,39,257,1,44,4,3,9,1,1,1,0,13,0,4,2
Mumbai Indians,Rohit Sharma,False,batter,19,500,337,47,26,19,16,1,2,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
Mumbai Indians,Suryakumar Yadav,False,batter,57,1498,967,133,76,54,43,5,12,28,15,6,2,0,102,113,7,47,0,4,0,4,1,0,0,0,0,19,0,2,2
Mumbai Indians,Tilak Varma,False,batter,40,1117,821,82,52,40,30,2,7,25,9,4,0,0,27,29,2,10,0,0,0,0,0,0,0,0,0,30,0,0,6
Mumbai Indians,Ryan Rickleton,False,wicketkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai Indians,Robin Minz,False,wicketkeeper,2,6,15,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai Indians,Mitchell Santner,True,all_rounder,55,540,386,40,27,38,22,1,14,7,4,0,0,0,1135,1490,54,364,1,47,0,12,15,6,0,0,0,19,0,4,1
Mumbai Indians,Corbin Bosch,True,all_rounder,60,233,212,17,6,30,19,2,16,2,0,0,0,0,1177,1679,79,452,2,60,12,13,24,11,4,1,0,19,0,5,2
Mumbai Indians,Naman Dhir,False,all_rounder,12,252,138,25,13,12,8,1,1,4,1,0,0,0,24,21,0,8,0,0,0,0,0,0,0,0,0,12,0,0,3
Mumbai Indians,Jasprit Bumrah,False,bowler,35,4,5,1,0,4,3,2,4,0,0,0,0,0,789,925,50,347,0,32,3,23,16,5,2,0,0,5,0,1,0
Mumbai Indians,Trent Boult,True,bowler,56,66,50,3,4,13,6,1,7,0,0,0,0,0,1202,1689,62,469,1,43,4,21,17,6,2,0,0,5,0,0,0
Mumbai Indians,Allah Ghafanzar,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai Indians,Ashwani Kumar,False,bowler,26,9,11,2,0,4,3,2,3,0,0,0,0,0,513,745,34,182,0,32,4,4,9,3,1,0,0,6,0,2,0
Mumbai Indians,Deepak Chahar,False,bowler,14,37,25,3,2,4,1,1,2,1,0,0,0,0,246,376,11,106,1,20,2,0,2,0,0,0,0,2,0,1,0
Mumbai Indians,Will Jacks,True,all_rounder,57,1502,987,144,69,53,46,3,10,25,14,5,2,1,563,736,33,219,1,19,1,8,10,2,0,0,0,32,0,1,4
Mumbai Indians,Raghu Sharma,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai Indians,Raj Angad Bawa,False,all_rounder,2,13,9,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
Kolkata Knight Riders,Cameron Green,True,all_rounder,94,1228,857,88,52,78,50,3,20,20,3,0,0,0,1381,1850,77,428,1,48,4,13,24,12,1,0,0,55,1,5,11
Kolkata Knight Riders,Matheesha Pathirana,True,bowler,33,9,13,0,0,5,2,1,5,0,0,0,0,0,674,1054,34,214,1,96,3,8,11,2,0,0,0,7,0,2,0
Kolkata Knight Riders,Mustafizur Rahman,True,bowler,95,798,646,54,49,51,37,5,13,8,3,3,1,0,1886,2312,104,755,6,77,8,20,29,11,1,0,0,38,0,6,8
Kolkata Knight Riders,Tejasvi Singh,False,bowler,32,595,396,59,31,29,24,0,6,8,4,1,1,0,408,442,25,172,1,17,1,7,9,2,1,0,0,13,0,1,1
Kolkata Knight Riders,Finn Allen,True,wicketkeeper,60,1843,969,143,141,60,53,4,9,26,17,9,5,3,42,62,1,13,0,1,0,0,0,0,0,0,0,29,1,3,5
Kolkata Knight Riders,Tim Seifert,True,wicketkeeper,73,2132,1423,210,102,73,66,4,13,35,18,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,12,8
Kolkata Knight Riders,Rahul Tripathi,False,batter,15,179,207,18,3,14,14,2,6,3,0,0,0,0,8,4,2,5,0,1,0,1,1,0,0,0,0,1,0,0,0
Kolkata Knight Riders,Kartik Tyagi,False,bowler,14,39,47,2,2,11,6,1,9,0,0,0,0,0,258,341,15,110,0,27,3,4,4,0,0,0,0,5,0,1,1
Kolkata Knight Riders,Daksh Kamra,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolkata Knight Riders,Sarthak Ranjan,False,all_rounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolkata Knight Riders,Prashant Solanki,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolkata Knight Riders,Akashdeep,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolkata Knight Riders,Rachin Ravindra,True,all_rounder,50,1158,776,112,46,49,44,2,11,21,12,4,0,0,311,420,23,119,1,9,2,5,6,2,1,0,0,16,0,1,0
Kolkata Knight Riders,Ajinkya Rahane,False,batter,12,390,264,36,20,12,11,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Kolkata Knight Riders,Sunil Narine,False,all_rounder,57,425,283,37,31,35,30,5,17,8,2,0,0,0,1332,1453,44,504,3,31,4,16,12,4,0,0,0,14,0,2,1
Kolkata Knight Riders,Rinku Singh,False,batter,42,577,428,49,27,40,27,3,11,8,3,0,0,0,142,210,6,48,0,6,0,2,1,0,0,0,0,44,0,3,7
Kolkata Knight Riders,Angkrish Raghuvanshi,False,batter,11,300,215,30,8,11,9,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Kolkata Knight Riders,Manish Pandey,False,batter,11,252,224,18,9,11,9,0,2,5,1,0,0,0,42,59,2,15,0,1,0,1,0,0,0,0,0,0,0,3,0
Kolkata Knight Riders,Varun Chakravarthy,False,bowler,43,4,12,0,0,9,2,2,9,0,0,0,0,0,960,1253,71,366,1,18,0,32,24,6,2,1,0,9,0,0,1
Kolkata Knight Riders,Ramandeep Singh,False,all_rounder,7,47,35,1,4,7,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
Kolkata Knight Riders,Ankul Roy,False,all_rounder,44,995,795,92,35,44,41,3,14,17,8,4,1,0,24,27,1,8,0,1,0,0,0,0,0,0,0,34,0,3,6
Kolkata Knight Riders,Rovman Powell,True,batter,61,1313,859,88,87,61,44,3,17,24,11,3,1,0,6,21,0,0,0,0,0,0,0,0,0,0,0,28,0,2,5
Kolkata Knight Riders,Harshit Rana,False,bowler,21,114,107,9,5,10,6,0,5,2,0,0,0,0,432,745,24,163,1,13,3,6,8,2,0,0,0,9,0,0,1
Kolkata Knight Riders,Vaibhav Arora,False,bowler,12,0,8,0,0,2,2,2,2,0,0,0,0,0,255,430,17,93,1,17,0,3,4,2,0,0,0,4,0,2,1
Kolkata Knight Riders,Umran Malik,False,bowler,2,14,15,0,0,1,1,0,0,0,0,0,0,0,12,35,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Royal Challengers Bengaluru,Venkatesh Iyer,False,all_rounder,7,142,102,15,4,7,7,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1
Royal Challengers Bengaluru,Mangesh Yadav,False,bowler,8,84,94,5,2,6,4,0,2,2,0,0,0,0,66,119,4,24,0,5,0,3,2,0,0,0,0,3,0,0,1
Royal Challengers Bengaluru,Jacob Duffy,True,bowler,51,64,50,2,3,16,8,3,13,0,0,0,0,0,1050,1484,68,461,1,64,2,12,21,7,3,0,0,11,0,1,2
Royal Challengers Bengaluru,Satwik Deswal,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Challengers Bengaluru,Jordan Cox,True,wicketkeeper,60,1599,1139,136,66,60,47,4,15,25,16,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,6,9
Royal Challengers Bengaluru,Vihaan Malhotra,False,batter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Challengers Bengaluru,Kanishk Chouhan,False,all_rounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Challengers Bengaluru,Vicky Ostwal,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Challengers Bengaluru,Rajat Patidar,False,batter,14,312,217,25,14,14,13,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Royal Challengers Bengaluru,Virat Kohli,False,batter,15,657,454,66,19,15,12,0,1,11,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
Royal Challengers Bengaluru,Devdutt Padikkal,False,batter,10,247,164,22,14,10,9,1,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Royal Challengers Bengaluru,Phil Salt,True,wicketkeeper,63,1795,1180,179,81,63,59,4,21,31,18,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,6
Royal Challengers Bengaluru,Jitesh Sharma,False,wicketkeeper,15,323,187,29,20,15,9,0,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,3,6
Royal Challengers Bengaluru,Krunal Pandya,False,all_rounder,15,109,86,9,4,7,6,1,4,1,1,1,0,0,276,379,17,83,0,9,0,2,5,2,1,0,0,6,0,0,0
Royal Challengers Bengaluru,Swapnil Singh,False,all_rounder,18,97,146,9,0,13,11,4,8,2,0,0,0,0,138,210,4,57,1,2,1,0,2,0,0,0,0,9,0,2,1
Royal Challengers Bengaluru,Tim David,True,batter,48,1237,719,86,94,48,34,2,9,19,11,6,2,1,30,43,0,7,0,1,0,0,0,0,0,0,0,33,0,6,9
Royal Challengers Bengaluru,Romario Shepherd,True,all_rounder,71,950,554,65,74,58,34,3,16,12,5,1,0,0,1021,1643,55,320,0,91,6,14,13,3,1,1,0,16,0,2,2
Royal Challengers Bengaluru,Jacob Bethell,True,all_rounder,41,899,628,76,48,41,37,1,8,12,6,2,2,1,193,281,15,57,0,10,0,1,4,1,1,0,0,24,0,3,5
Royal Challengers Bengaluru,Josh Hazlewood,True,bowler,19,0,2,0,0,2,0,0,2,0,0,0,0,0,426,585,34,197,0,6,0,4,11,6,1,0,0,2,0,0,0
Royal Challengers Bengaluru,Yash Dayal,False,bowler,21,57,54,2,2,8,4,1,6,1,0,0,0,0,401,594,18,137,0,12,4,7,4,1,1,0,0,5,0,0,0
Royal Challengers Bengaluru,Bhuvneshwar Kumar,False,bowler,18,19,37,1,0,8,5,0,7,0,0,0,0,0,402,633,18,146,0,13,2,2,4,1,0,0,0,7,0,1,1
Royal Challengers Bengaluru,Nuwan Thushara,True,bowler,22,1,13,0,0,3,0,0,3,0,0,0,0,0,473,731,16,140,2,21,4,6,3,1,0,0,0,2,0,0,1
Royal Challengers Bengaluru,Rasikh Salam,False,bowler,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,70,1,13,0,2,0,0,0,0,0,0,0,1,0,0,0
Royal Challengers Bengaluru,Abhinandan Singh,False,bowler,3,30,28,2,1,3,2,0,1,0,0,0,0,0,30,56,0,8,0,2,0,0,0,0,0,0,0,2,0,0,0
Royal Challengers Bengaluru,Suyash Sharma,False,bowler,36,37,26,0,3,7,5,2,4,0,0,0,0,0,769,1060,36,256,0,36,1,14,9,4,1,0,0,6,0,3,0
Punjab Kings,Cooper Connolly,True,all_rounder,29,415,316,27,24,28,23,6,13,6,3,1,0,0,408,501,22,154,0,14,0,10,5,1,0,0,0,15,0,0,3
Punjab Kings,Ben Dwarshuis,True,bowler,50,542,378,35,29,38,24,3,11,9,1,0,0,0,1070,1584,61,395,1,47,1,10,18,7,2,0,0,5,0,5,0
Punjab Kings,Praveen Dubey,False,bowler,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Punjab Kings,Vishal Nishad,False,batter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab Kings,Prabhsimran Singh,False,wicketkeeper,41,734,454,72,38,24,20,1,5,12,7,4,3,0,428,473,25,207,1,42,0,9,6,3,0,0,0,8,1,0,1
Punjab Kings,Priyansh Arya,False,batter,18,545,299,60,31,18,18,1,2,6,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Punjab Kings,Shreyas Iyer,False,batter,17,604,345,43,39,17,12,1,3,10,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1
Punjab Kings,Shashank Singh,False,batter,14,350,228,23,18,14,7,0,4,6,4,1,0,0,12,27,0,3,0,0,0,0,0,0,0,0,0,7,0,0,2
Punjab Kings,Nehal Wadhera,False,batter,15,369,253,28,21,15,12,0,3,6,4,2,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0
Punjab Kings,Marcus Stoinis,True,all_rounder,62,1093,800,88,51,54,40,3,15,19,10,4,0,0,849,1302,49,275,2,68,5,10,15,2,0,0,0,16,0,3,0
Punjab Kings,Azmatullah Omarzai,True,all_rounder,29,459,336,33,22,24,20,0,5,7,4,0,0,0,498,784,28,176,0,28,0,6,8,3,1,0,0,4,0,1,0
Punjab Kings,Marco Jansen,True,all_rounder,55,475,373,30,28,35,24,2,16,6,3,0,0,0,1176,1626,71,501,2,57,3,12,21,7,4,0,0,20,0,0,2
Punjab Kings,Harpreet Brar,False,all_rounder,7,11,13,0,1,2,1,0,1,0,0,0,0,0,132,190,10,40,0,1,1,3,3,1,0,0,0,0,0,0,0
Punjab Kings,Yuzvendra Chahal,False,bowler,13,0,0,0,0,0,0,0,0,0,0,0,0,0,270,430,16,72,0,11,0,2,3,2,2,0,0,2,0,0,0
Punjab Kings,Arshdeep Singh,False,bowler,39,26,36,4,0,12,10,3,10,0,0,0,0,0,875,1302,55,338,1,68,0,10,17,7,1,1,0,8,0,1,0
Punjab Kings,Musheer Khan,False,all_rounder,23,199,149,11,14,19,11,3,7,2,1,0,0,0,129,207,8,43,0,6,3,2,2,0,0,0,0,11,0,1,1
Punjab Kings,Pyala Avinash,False,wicketkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab Kings,Harnoor Pannu,False,batter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab Kings,Suryansh Shedge,False,all_rounder,3,7,11,0,0,3,3,0,3,0,0,0,0,0,18,40,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Punjab Kings,Mitchell Owen,True,all_rounder,54,1107,580,78,92,52,51,6,11,20,7,3,2,1,376,626,27,118,0,16,1,1,5,3,1,1,0,26,0,3,4
