player,name_key,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
SP Tari,sp tari,2,1,2,0,0,1,1,0,1,0,0,0,0,0,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayush Gandhi,ayush gandhi,2,1,6,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS Paul,ss paul,2,1,4,0,0,1,1,0,1,0,0,0,0,0,12,33,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Amanpreet Singh,amanpreet singh,2,1,4,0,0,1,1,0,1,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR Kumar,sr kumar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48,63,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0
NA Saini,na saini,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48,36,4,0,0,4,0,0,1,1,0,0,0,0,0,0,0
Amit Kumar,amit kumar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,50,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0
A Panwar,a panwar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46,69,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0
H Bisht,h bisht,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0
I Sharma,i sharma,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,64,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0
YS Chahal,ys chahal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,63,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0
Divesh Sharma,divesh sharma,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,62,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Gourav Choudhary,gourav choudhary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0
PR Rekhade,pr rekhade,2,0,3,0,0,1,1,1,1,0,0,0,0,0,24,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P Akash,p akash,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Raj,mm raj,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Simarjeet Singh,simarjeet singh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,98,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
B Yeswanth,b yeswanth,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R Goyal,r goyal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Himanshu Singh,himanshu singh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DKS Mohanty,dks mohanty,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
NB Narayanan,nb narayanan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,41,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
J Goyat,j goyat,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS Ghosh,rs ghosh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,47,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Ashish Srivastav,ashish srivastav,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gagandeep Singh,gagandeep singh,2,0,2,0,0,1,1,1,1,0,0,0,0,0,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Redkar,ms redkar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,56,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Yab Niya,yab niya,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SR Nishad,sr nishad,2,0,2,0,0,1,1,1,1,0,0,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saurabh Shekhar,saurabh shekhar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,48,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
J Anderson,j anderson,1,82,55,7,3,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harnoor Singh,harnoor singh,1,64,36,5,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E Sen,e sen,1,56,38,6,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR Pathak,kr pathak,1,51,29,5,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Lalthankhuma,j lalthankhuma,1,38,30,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Rupero,s rupero,1,34,26,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD Bist,cd bist,1,31,17,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB Chetri,hb chetri,1,29,24,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Rithik Easwaran,s rithik easwaran,1,29,17,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PK Garg,pk garg,1,28,14,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UR Kumar,ur kumar,1,28,20,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP Raju,pp raju,1,25,25,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yash Arora,yash arora,1,25,33,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Gouda,sk gouda,1,24,16,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Dahiya,t dahiya,1,23,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Bhanu Anand,a bhanu anand,1,23,13,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L Jhon,l jhon,1,22,14,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Chettri,s chettri,1,20,27,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM Sen,rm sen,1,19,22,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPP Samal,spp samal,1,18,10,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SU Parakh,su parakh,1,18,14,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM Choudhury,gm choudhury,1,17,10,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB Lalwani,bb lalwani,1,17,14,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM Chouhan,rm chouhan,1,17,11,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP Senapati,sp senapati,1,16,14,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R Harish Kumar,r harish kumar,1,15,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y Dongare,y dongare,1,14,11,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Lalbiakkima,j lalbiakkima,1,14,14,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Andyroshan,m andyroshan,1,13,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Singpho,m singpho,1,12,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahammed Imran,ahammed imran,1,12,15,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Goswami,abhishek goswami,1,12,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Mahajan,i mahajan,1,12,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tai Magung,tai magung,1,11,11,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB Jaiswal,tb jaiswal,1,11,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB Poddar,gb poddar,1,10,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U Khwairakpam,u khwairakpam,1,10,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dado Tachung,dado tachung,1,10,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Mukesh,aditya mukesh,1,10,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Hussain,sa hussain,1,10,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LJ Singh,lj singh,1,10,10,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaho Chishi,nagaho chishi,1,9,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhavesh Seth,bhavesh seth,1,9,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JN Kalita,jn kalita,1,9,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR Desai,ar desai,1,9,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Rawat,s rawat,1,8,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Mustaque,mohammed mustaque,1,8,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachin K Singh,sachin k singh,1,8,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Satrujit,s satrujit,1,7,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Malakar,a malakar,1,7,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Chaubey,s chaubey,1,7,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB Ozukum,jb ozukum,1,6,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR Mapu,ccr mapu,1,6,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankush Singh,ankush singh,1,6,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Yong Lepcha,lee yong lepcha,1,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IP Gadekar,ip gadekar,1,5,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Mohamed Ali,s mohamed ali,1,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD Lad,sd lad,1,5,9,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Siraj,mohammed siraj,1,5,10,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucky Farman Khan,lucky farman khan,1,4,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N Thoiba,n thoiba,1,4,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Bhandari,ms bhandari,1,4,11,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN Garhwal,an garhwal,1,4,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanyam Saini,sanyam saini,1,4,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arun Kumar,arun kumar,1,3,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H Parab,h parab,1,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VN Kumar,vn kumar,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Satyam Maurya,satyam maurya,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R Jashwanth Shreeram,r jashwanth shreeram,1,2,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS Sutradhar,ss sutradhar,1,2,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P Tamang,p tamang,1,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Gupta,abhishek gupta,1,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Grewal,ms grewal,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ Mylliemngap,bj mylliemngap,1,1,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN Laiphangbam,sn laiphangbam,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harsh Vardhan,harsh vardhan,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS Ghosh,ss ghosh,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pukhraj Mann,pukhraj mann,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD Patel,sd patel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,37,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mangesh Yadav,mangesh yadav,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,38,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0
KB Fuletra,kb fuletra,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH Thakral,ah thakral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Naveen Kumar Singh,naveen kumar singh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK Kanwar,nk kanwar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AK Yadav,ak yadav,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PP Hinge,pp hinge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CH Gandhi,ch gandhi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Aravinddaraj,a aravinddaraj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H Sharma,h sharma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nawaz Khan,nawaz khan,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jainath Mansingh,jainath mansingh,1,0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS Sargun,gs sargun,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arjit Pannu,arjit pannu,1,0,6,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amarjeet Sharma,amarjeet sharma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG Rao,ag rao,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
V Bhardwaj,v bhardwaj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PM Datey,pm datey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MK Mahrour,mk mahrour,1,0,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP Udeshi,sp udeshi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS Hossain,ss hossain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Sali Samson,sali samson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Y Chudasama,y chudasama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VA Arora,va arora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R Ragavan,r ragavan,1,0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P Thamaraikannan,p thamaraikannan,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mukesh Kumar,mukesh kumar,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Safeequddin,mohamed safeequddin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mayank Yadav,mayank yadav,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mayank Rawat,mayank rawat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK Debnath,ak debnath,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CK Paul,ck paul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB Patel,db patel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,45,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Harsh Tyagi,harsh tyagi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS Golada,rs golada,1,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS Harikant,rs harikant,1,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VY Sharma,vy sharma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TK Kotian,tk kotian,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jassinder Singh,jassinder singh,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemant Kumar,hemant kumar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,45,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
